"chytrid_gene","cyano_gene","spearman_r","n_nonzero_chy","n_nonzero_cyano","min_nonzero","suspicious","locus_tag","protein","product"
"PK3C3_HUMAN","77289880",-0.964285714285714,7,6,6,FALSE,"NMG88_RS18715","DNA-directed RNA polymerase subunit beta'","DNA-directed RNA polymerase subunit beta'"
"SSU72_YARLI","77289880",0.964285714285714,7,6,6,FALSE,"NMG88_RS18715","DNA-directed RNA polymerase subunit beta'","DNA-directed RNA polymerase subunit beta'"
"ABCC3_DICDI","77289887",0.964285714285714,7,7,7,FALSE,"NMG88_RS18750","succinate dehydrogenase/fumarate reductase flavoprotein subunit","succinate dehydrogenase/fumarate reductase flavoprotein subunit"
"DBP4_CRYNJ","77289887",0.964285714285714,7,7,7,FALSE,"NMG88_RS18750","succinate dehydrogenase/fumarate reductase flavoprotein subunit","succinate dehydrogenase/fumarate reductase flavoprotein subunit"
"RCD1_SCHPO","77289887",-0.964285714285714,7,7,7,FALSE,"NMG88_RS18750","succinate dehydrogenase/fumarate reductase flavoprotein subunit","succinate dehydrogenase/fumarate reductase flavoprotein subunit"
"A4GCT_MOUSE","77289889",0.964285714285714,7,6,6,FALSE,"NMG88_RS18760","ABC transporter ATP-binding protein/permease","ABC transporter ATP-binding protein/permease"
"CG21_EMENI","77289889",-0.964285714285714,7,6,6,FALSE,"NMG88_RS18760","ABC transporter ATP-binding protein/permease","ABC transporter ATP-binding protein/permease"
"COX11_YEAST","77289889",-0.964285714285714,7,6,6,FALSE,"NMG88_RS18760","ABC transporter ATP-binding protein/permease","ABC transporter ATP-binding protein/permease"
"FBH1_SCHPO","77289889",0.964285714285714,7,6,6,FALSE,"NMG88_RS18760","ABC transporter ATP-binding protein/permease","ABC transporter ATP-binding protein/permease"
"PUR2_YARLI","77289889",-0.964285714285714,7,6,6,FALSE,"NMG88_RS18760","ABC transporter ATP-binding protein/permease","ABC transporter ATP-binding protein/permease"
"U520_HUMAN","77289889",0.964285714285714,7,6,6,FALSE,"NMG88_RS18760","ABC transporter ATP-binding protein/permease","ABC transporter ATP-binding protein/permease"
"WDR70_XENTR","77289889",-0.964285714285714,7,6,6,FALSE,"NMG88_RS18760","ABC transporter ATP-binding protein/permease","ABC transporter ATP-binding protein/permease"
"HXNT_EMENI","77289893",0.964285714285714,7,6,6,FALSE,"NMG88_RS18780","CPBP family intramembrane glutamic endopeptidase","CPBP family intramembrane glutamic endopeptidase"
"PPK15_SCHPO","77289893",-0.964285714285714,7,6,6,FALSE,"NMG88_RS18780","CPBP family intramembrane glutamic endopeptidase","CPBP family intramembrane glutamic endopeptidase"
"RRP12_YEAST","77289893",-0.964285714285714,7,6,6,FALSE,"NMG88_RS18780","CPBP family intramembrane glutamic endopeptidase","CPBP family intramembrane glutamic endopeptidase"
"CFA43_CHLRE","77289903",0.964285714285714,7,6,6,FALSE,"NMG88_RS18830","efflux RND transporter permease subunit","efflux RND transporter permease subunit"
"GLPK_RAT","77289903",0.964285714285714,7,6,6,FALSE,"NMG88_RS18830","efflux RND transporter permease subunit","efflux RND transporter permease subunit"
"RFC1_SCHPO","77289903",-0.964285714285714,7,6,6,FALSE,"NMG88_RS18830","efflux RND transporter permease subunit","efflux RND transporter permease subunit"
"TRX1_SCHPO","77289903",0.964285714285714,7,6,6,FALSE,"NMG88_RS18830","efflux RND transporter permease subunit","efflux RND transporter permease subunit"
"GALK2_PONAB","77289905",0.964285714285714,7,6,6,FALSE,"NMG88_RS18840","ABC transporter permease","ABC transporter permease subunit"
"BLM_HUMAN","77289906",0.964285714285714,7,7,7,FALSE,"NMG88_RS18845","AAA-associated domain-containing protein","nitrate/sulfonate/bicarbonate ABC transporter ATP-binding protein"
"LTN1_YEAST","77289906",0.964285714285714,7,7,7,FALSE,"NMG88_RS18845","AAA-associated domain-containing protein","nitrate/sulfonate/bicarbonate ABC transporter ATP-binding protein"
"NOXA_DICDI","77289906",-0.964285714285714,7,7,7,FALSE,"NMG88_RS18845","AAA-associated domain-containing protein","nitrate/sulfonate/bicarbonate ABC transporter ATP-binding protein"
"PGMG_ASPTE","77289906",-0.964285714285714,7,7,7,FALSE,"NMG88_RS18845","AAA-associated domain-containing protein","nitrate/sulfonate/bicarbonate ABC transporter ATP-binding protein"
"IVD_MOUSE","77289907",0.964285714285714,7,6,6,FALSE,"NMG88_RS18850","PmeII family type II restriction endonuclease","PmeII family type II restriction endonuclease"
"PMA1_NICPL","77289907",-0.964285714285714,7,6,6,FALSE,"NMG88_RS18850","PmeII family type II restriction endonuclease","PmeII family type II restriction endonuclease"
"PRDX6_CHICK","77289907",-0.964285714285714,7,6,6,FALSE,"NMG88_RS18850","PmeII family type II restriction endonuclease","PmeII family type II restriction endonuclease"
"MCA2_TRYB2","77289909",0.964285714285714,7,6,6,FALSE,"NMG88_RS18860","DUF1517 domain-containing protein","DUF1517 domain-containing protein"
"NDB3_ARATH","77289909",-0.964285714285714,7,6,6,FALSE,"NMG88_RS18860","DUF1517 domain-containing protein","DUF1517 domain-containing protein"
"YPKA_ASPFU","77289909",-0.964285714285714,7,6,6,FALSE,"NMG88_RS18860","DUF1517 domain-containing protein","DUF1517 domain-containing protein"
"GLGB_RHIID","77289910",-0.964285714285714,7,6,6,FALSE,"NMG88_RS18865","MFS transporter","MFS transporter"
