"chytrid_gene","cor_with_MET","pval_MET"
"PPCE_MOUSE",0.866025403784439,0.0117248110039547
"FEN1_NEMVE",-0.721687836487032,0.0671057714351988
"MOGT1_HUMAN",-0.721687836487032,0.0671057714351988
"TRNL_SCHPO",-0.721687836487032,0.0671057714351988
"CAMKI_MACNP",0.721687836487032,0.067105771435199
"ABCB6_HUMAN",0.577350269189626,0.174687814264119
"AL1A3_HUMAN",0.577350269189626,0.174687814264119
"CBPC1_HUMAN",0.577350269189626,0.174687814264119
"NPAL2_HUMAN",0.577350269189626,0.174687814264119
"PAQR1_HUMAN",0.577350269189626,0.174687814264119
"SIK3_HUMAN",0.577350269189626,0.174687814264119
"PHOP1_MOUSE",0.433012701892219,0.331826821214195
"AMYA_DROMA",-0.433012701892219,0.331826821214196
"AB6C_ARATH",0.288675134594813,0.530091618670453
"ACA1_SCHPO",-0.288675134594813,0.530091618670453
"ATC2_CRYNH",-0.288675134594813,0.530091618670453
"BIP_ASPAW",0.288675134594813,0.530091618670453
"NU4M_USTMA",0.144337567297406,0.757509387652179
"SYKC_SCHPO",0.144337567297406,0.757509387652179
"DBP4_CRYNJ",-0.144337567297406,0.757509387652179
"ARF_CRYNB",0.0728219081254419,0.876701225259361
