"chytrid_gene","cyano_gene","spearman_r","n_nonzero_chy","n_nonzero_cyano","min_nonzero","suspicious","locus_tag","protein","product"
"NPAL2_HUMAN","77288071",0.928571428571428,7,6,6,FALSE,"NMG88_RS09670","threonine--tRNA ligase","threonine--tRNA ligase"
"PPCE_MOUSE","77288194",0.928571428571428,7,6,6,FALSE,"NMG88_RS10285","UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase","UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase"
"BIP_ASPAW","77288245",-0.928571428571428,7,7,7,FALSE,"NMG88_RS10540","hydantoinase B/oxoprolinase family protein","hydantoinase B/oxoprolinase family protein"
"CAMKI_MACNP","77288247",0.928571428571428,7,6,6,FALSE,"NMG88_RS10550","Fe2+-dependent dioxygenase","Fe2+-dependent dioxygenase"
"PHOP1_MOUSE","77288251",0.928571428571428,7,6,6,FALSE,"NMG88_RS10570","Fe-S cluster assembly protein SufB","Fe-S cluster assembly protein SufB"
"BIP_ASPAW","77288257",-0.928571428571428,7,6,6,FALSE,"NMG88_RS10600","alpha/beta fold hydrolase","alpha/beta hydrolase"
"MOGT1_HUMAN","77288260",0.928571428571428,7,7,7,FALSE,"NMG88_RS10615","CoA-acylating methylmalonate-semialdehyde dehydrogenase","CoA-acylating methylmalonate-semialdehyde dehydrogenase"
"NU4M_USTMA","77288272",0.928571428571428,7,6,6,FALSE,"NMG88_RS10675","tetratricopeptide repeat protein","tetratricopeptide repeat protein"
"SYKC_SCHPO","77288315",-0.928571428571428,7,7,7,FALSE,"NMG88_RS10890","peptidoglycan-binding domain-containing protein","peptidoglycan-binding protein"
"AL1A3_HUMAN","77288360",0.928571428571428,7,7,7,FALSE,"NMG88_RS11115","hormogonium polysaccharide biosynthesis glycosyltransferase HpsP","hormogonium polysaccharide biosynthesis glycosyltransferase HpsP"
"MOGT1_HUMAN","77288446",0.928571428571428,7,7,7,FALSE,"NMG88_RS11545","N-acetylmuramoyl-L-alanine amidase","N-acetylmuramoyl-L-alanine amidase"
"ACA1_SCHPO","77288447",-0.928571428571428,7,6,6,FALSE,"NMG88_RS11550","RecQ family ATP-dependent DNA helicase","RecQ family ATP-dependent DNA helicase"
"NPAL2_HUMAN","77288600",0.928571428571428,7,6,6,FALSE,"NMG88_RS12315","cytochrome f","cytochrome f"
"PHOP1_MOUSE","77288617",0.928571428571428,7,6,6,FALSE,"NMG88_RS12400","hypothetical protein","hypothetical protein"
"BIP_ASPAW","77288649",0.928571428571428,7,6,6,FALSE,"NMG88_RS12560","GMC family oxidoreductase","GMC family oxidoreductase"
"ATC2_CRYNH","77288655",-0.928571428571428,7,7,7,FALSE,"NMG88_RS12590","cation-translocating P-type ATPase","cation-translocating P-type ATPase"
"NPAL2_HUMAN","77288669",-0.928571428571428,7,6,6,FALSE,"NMG88_RS12660","30S ribosome-binding factor RbfA","30S ribosome-binding factor RbfA"
"PHOP1_MOUSE","77288737",-0.928571428571428,7,6,6,FALSE,"NMG88_RS13000","photosystem I reaction center protein subunit XI","photosystem I reaction center protein subunit XI"
"ACA1_SCHPO","77288773",-0.928571428571428,7,6,6,FALSE,"NMG88_RS13180","pentapeptide repeat-containing protein","pentapeptide repeat-containing protein"
"PHOP1_MOUSE","77288783",0.928571428571428,7,6,6,FALSE,"NMG88_RS13230","hypothetical protein","hypothetical protein"
"AMYA_DROMA","77288813",-0.928571428571428,7,7,7,FALSE,"NMG88_RS13380","tetratricopeptide repeat protein","tetratricopeptide repeat protein"
"CBPC1_HUMAN","77288813",0.928571428571428,7,7,7,FALSE,"NMG88_RS13380","tetratricopeptide repeat protein","tetratricopeptide repeat protein"
"ACA1_SCHPO","77288831",-0.928571428571428,7,6,6,FALSE,"NMG88_RS13470","septal ring lytic transglycosylase RlpA family protein","septal ring lytic transglycosylase RlpA family protein"
"PHOP1_MOUSE","77288851",0.928571428571428,7,6,6,FALSE,"NMG88_RS13570","tetratricopeptide repeat protein","tetratricopeptide repeat protein"
"ACA1_SCHPO","77288864",0.928571428571428,7,6,6,FALSE,"NMG88_RS13635","DNA sulfur modification protein DndD","DNA sulfur modification protein DndD"
"ATC2_CRYNH","77288864",0.928571428571428,7,6,6,FALSE,"NMG88_RS13635","DNA sulfur modification protein DndD","DNA sulfur modification protein DndD"
"MOGT1_HUMAN","77288897",0.928571428571428,7,7,7,FALSE,"NMG88_RS13800","polyamine ABC transporter substrate-binding protein","spermidine/putrescine ABC transporter substrate-binding protein"
"SYKC_SCHPO","77288921",0.928571428571428,7,6,6,FALSE,"NMG88_RS13920","acetyl-CoA carboxylase biotin carboxylase subunit","acetyl-CoA carboxylase biotin carboxylase subunit"
"SYKC_SCHPO","77289013",-0.928571428571428,7,7,7,FALSE,"NMG88_RS14380","ABC transporter ATP-binding protein","ABC transporter ATP-binding protein"
"DBP4_CRYNJ","77289033",-0.928571428571428,7,7,7,FALSE,"NMG88_RS14480","helix-turn-helix domain-containing protein","RodZ domain-containing protein"
"BIP_ASPAW","77289075",0.928571428571428,7,6,6,FALSE,"NMG88_RS14690","replicative DNA helicase","replicative DNA helicase"
"CAMKI_MACNP","77289201",0.928571428571428,7,6,6,FALSE,"NMG88_RS15320","DUF2891 domain-containing protein","DUF2891 domain-containing protein"
"AB6C_ARATH","77289240",-0.928571428571428,7,6,6,FALSE,"NMG88_RS15515","glucose-6-phosphate isomerase","glucose-6-phosphate isomerase"
"ABCB6_HUMAN","77289282",0.928571428571428,7,7,7,FALSE,"NMG88_RS15725","WD40 repeat domain-containing protein","hypothetical protein"
"ACA1_SCHPO","77289286",0.928571428571428,7,7,7,FALSE,"NMG88_RS15745","putative baseplate assembly protein","putative baseplate assembly protein"
"AB6C_ARATH","77289328",-0.928571428571428,7,6,6,FALSE,"NMG88_RS15955","Eco57I restriction-modification methylase domain-containing protein","N-6 DNA methylase"
"PAQR1_HUMAN","77289334",0.928571428571428,7,6,6,FALSE,"NMG88_RS15985","FIST signal transduction protein","FIST N-terminal domain-containing protein"
"NPAL2_HUMAN","77289354",0.928571428571428,7,6,6,FALSE,"NMG88_RS16085","leucyl aminopeptidase","leucyl aminopeptidase"
"DBP4_CRYNJ","77289445",0.928571428571428,7,7,7,FALSE,"NMG88_RS16540","serine/threonine-protein kinase","serine/threonine-protein kinase"
"PHOP1_MOUSE","77289457",0.928571428571428,7,6,6,FALSE,"NMG88_RS16600","M16 family metallopeptidase","pitrilysin family protein"
"ABCB6_HUMAN","77289470",0.928571428571428,7,7,7,FALSE,"NMG88_RS16665","primosomal protein N'","primosomal protein N'"
"NU4M_USTMA","77289489",-0.928571428571428,7,6,6,FALSE,"NMG88_RS16760","nitrate ABC transporter ATP-binding protein","nitrate ABC transporter ATP-binding protein"
"ATC2_CRYNH","77289502",-0.928571428571428,7,6,6,FALSE,"NMG88_RS16825","Uma2 family endonuclease","Uma2 family endonuclease"
"MOGT1_HUMAN","77289529",-0.928571428571428,7,6,6,FALSE,"NMG88_RS16960","calcium/proton exchanger","calcium/proton exchanger"
"AB6C_ARATH","77289540",-0.928571428571428,7,6,6,FALSE,"NMG88_RS17015","adenylate/guanylate cyclase domain-containing protein","adenylate/guanylate cyclase domain-containing protein"
"PPCE_MOUSE","77289563",-0.928571428571428,7,7,7,FALSE,"NMG88_RS17130","NADH-quinone oxidoreductase subunit J","NADH-quinone oxidoreductase subunit J"
"MOGT1_HUMAN","77289571",0.928571428571428,7,7,7,FALSE,"NMG88_RS17170","photosynthesis system II assembly factor Ycf48","photosynthesis system II assembly factor Ycf48"
"DBP4_CRYNJ","77289578",0.928571428571428,7,6,6,FALSE,"NMG88_RS17205","hypothetical protein","hypothetical protein"
"CAMKI_MACNP","77289615",-0.928571428571428,7,7,7,FALSE,"NMG88_RS17390","C-3',4' desaturase CrtD","C-3',4' desaturase CrtD"
"AB6C_ARATH","77289657",-0.928571428571428,7,6,6,FALSE,"NMG88_RS17600","cobalt-precorrin-6A reductase","cobalt-precorrin-6A reductase"
"AL1A3_HUMAN","77289671",0.928571428571428,7,6,6,FALSE,"NMG88_RS17670","DUF4351 domain-containing protein","DUF4351 domain-containing protein"
"ATC2_CRYNH","77289747",-0.928571428571428,7,6,6,FALSE,"NMG88_RS18050","class I SAM-dependent methyltransferase","class I SAM-dependent methyltransferase"
"PAQR1_HUMAN","77289770",0.928571428571428,7,7,7,FALSE,"NMG88_RS18165","AMP-dependent synthetase/ligase","AMP-binding protein"
"CAMKI_MACNP","77289867",-0.928571428571428,7,7,7,FALSE,"NMG88_RS18650","2OG-Fe(II) oxygenase","2OG-Fe(II) oxygenase"
"NU4M_USTMA","77289873",0.928571428571428,7,7,7,FALSE,"NMG88_RS18680","ribonucleoside-diphosphate reductase subunit alpha","ribonucleoside-diphosphate reductase subunit alpha"
"PAQR1_HUMAN","77289931",0.928571428571428,7,6,6,FALSE,"NMG88_RS18970","bifunctional folylpolyglutamate synthase/dihydrofolate synthase","folylpolyglutamate synthase/dihydrofolate synthase family protein"
"MOGT1_HUMAN","77289969",-0.928571428571428,7,6,6,FALSE,"NMG88_RS19160","response regulator","response regulator"
"PAQR1_HUMAN","77290002",0.928571428571428,7,7,7,FALSE,"NMG88_RS19325","glycoside hydrolase family 10 protein","family 10 glycosylhydrolase"
