Sample	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
C10_1_trimm_paired - polya	0.1841282663646308	0.18532572796856758	0.18646225679177306	0.18749546481286894	0.18825315069500592	0.1887671054542177	0.18935788850217766	0.18991158203143163	0.1906507231542156	0.1928262883514565	0.1960604943826202	0.19941391672391034	0.2024001528300111	0.20555329177028883	0.2086439083790336	0.21182089058133657	0.21500582053764808	0.21825539222656146	0.22150443406520756	0.22486315490917005	0.22834480101512952	0.23192129031892295	0.2355735482109301	0.2392422314612213	0.24314139957775702	0.24692929913817468	0.25072196735099744	0.25464232947822224	0.2583857216161928	0.2620257929520536	0.26553764052324513	0.26896471205168015	0.2722423658047566	0.27532238540815673	0.27823338277631104	0.2798033291181095
C10_1_trimm_paired - polyg	0.0	0.0	0.00024108187158903923	0.0008106709088598462	0.0019445504807291737	0.003950033742189643	0.00704171005146886	0.010305587697597391	0.016618753631626848	0.027342923040334876	0.04276580461882665	0.05786918648617952	0.0754739914651189	0.0920641331823154	0.10613112792696903	0.11911245947407116	0.13117503065779879	0.14199934176701304	0.15190542236312005	0.1611984662000434	0.16999186123497023	0.17804876439844922	0.18560072025725927	0.19238598277938948	0.19860642491665387	0.20438338238024795	0.20990866096690838	0.2149305817997016	0.21994508472875363	0.2246056476792969	0.22888895723957337	0.23281355816893604	0.23672279344054906	0.24038458863736634	0.24388742875401498	0.2458531732454333
C10_2_trimm_paired - polya	0.14133490953190828	0.14245289359576074	0.1444265858411875	0.1462254274984288	0.14739904584034028	0.14814348546579653	0.14898329813935396	0.14993173011769326	0.15101527391417585	0.1541053606726534	0.15931113954817494	0.1644570453434997	0.16949380198377528	0.1737940667526031	0.17756395140393497	0.18112083624784095	0.18451770631104386	0.18791563607478126	0.1911328868973937	0.19431728700343792	0.19753029902391248	0.20056899030646883	0.20363364425211938	0.20683076076457713	0.2099568773412262	0.21293993434572353	0.21597650622721093	0.21898711544560417	0.22178790395817488	0.2244859015189032	0.22708375737912534	0.22964293416983975	0.23210726776272023	0.23455835509892	0.23697394246721543	0.23835314271281163
C10_2_trimm_paired - polyg	0.24404638383418356	0.2503674975222215	0.25062977340449966	0.2508682060247525	0.251024511853585	0.2512629444738379	0.2516046978962004	0.25194645131856286	0.2526273089119517	0.2540133972110218	0.25651376062207387	0.2602523841076393	0.2664246098705859	0.2721385151523798	0.27684305567510303	0.28078461181301695	0.2842895713307346	0.28738230734054826	0.290218065970756	0.2928440038951413	0.2951419645041119	0.29740389529491107	0.29949150534779195	0.30152824977501896	0.3033339794857342	0.3050506943515551	0.3067382674526783	0.30835378091745846	0.30977060053202793	0.31121974101289834	0.31262225467025256	0.31399615641317646	0.3152481925946378	0.3164546616531175	0.31761291433727934	0.3182837047755908
C11_1_trimm_paired - polya	0.14518237888058597	0.14644191039242585	0.14739938231092858	0.14843379393716813	0.14920319101453638	0.14975316744391445	0.15031739196731783	0.15082747373342495	0.15164531433047934	0.15379905622334947	0.15719124244890198	0.16074129755625524	0.16413063416300272	0.16749603397178756	0.17091557653786876	0.1743351191039499	0.1776127506535387	0.18111892163129392	0.1843720464591591	0.18796598569611045	0.19168701793176776	0.19549011918901102	0.19927441296214085	0.20311170964504494	0.206990040838742	0.21096183952924524	0.21469199054507876	0.218660939616777	0.222664084114136	0.22645521697239798	0.2300662539221797	0.23338833952512755	0.2365354585334442	0.23976407663958588	0.2426894953048683	0.2442522262575674
C11_1_trimm_paired - polyg	0.0	0.0	0.00048443519686149826	0.0013279223631615187	0.0026786416767635786	0.004696171790751465	0.007520144026573493	0.010295672742709372	0.0153736934533399	0.02427305298156613	0.03634460816359365	0.04800353854264738	0.062405511983459214	0.0763589554243534	0.08877930394812121	0.09997488630947095	0.11059142612963094	0.12050354018117819	0.129849719938039	0.13871545396436546	0.14658610110396225	0.1538087449272867	0.16054125431613947	0.16667192421336202	0.17235862350075498	0.1778412900817051	0.18288283567163077	0.18742455812314757	0.19165453227739	0.1955442619463073	0.19904986300030153	0.20255204451172965	0.20591459470170945	0.2091768383097509	0.2122025635569717	0.21391518445881735
C11_2_trimm_paired - polya	0.13574444139820194	0.13699257443482157	0.13871089457427735	0.14005021541265913	0.14111597284575444	0.141939512680419	0.1426775639509315	0.14347545721635044	0.1445269665554204	0.14733384107841202	0.1520904247878309	0.15695757370688646	0.16144116393477986	0.16540555361638998	0.16909524004519155	0.1725940020140536	0.17604717008203452	0.17942282851851768	0.18286687780632244	0.1862453858616106	0.18949053175682162	0.19271687016791922	0.19590844322959494	0.1991627079049822	0.20211662275831532	0.2051754035836749	0.208256981359475	0.2114485544211508	0.21460365236212167	0.21758948294607156	0.2205109121450269	0.22329669948886105	0.22593373673107062	0.22844197120329116	0.23080886458278033	0.23215274481125023
C11_2_trimm_paired - polyg	0.14664708294639073	0.1499953850423452	0.15016636217064924	0.15032309120492798	0.15044562481354587	0.1506109027042398	0.1508217744958148	0.15110958599512664	0.1516339158552591	0.152683145499285	0.15459922918381247	0.15745283745520722	0.1617683001736016	0.16558735929615326	0.16912601592828627	0.17235805357699396	0.17506918090813534	0.17742581565992627	0.17970494078021937	0.18180795945835926	0.18368129886081075	0.1856019419354263	0.187356737195587	0.18906935809743264	0.1905084155939918	0.19192581598763242	0.1933785516544559	0.19464891171775506	0.1958890658217205	0.19716911458895686	0.198522113597603	0.19980615183116648	0.20100356165305588	0.20217304521065566	0.20329237547728618	0.2039358194034705
C12_1_trimm_paired - polya	0.1337096057662637	0.13493714289292533	0.13584164393362333	0.13675111476025928	0.13755125029626136	0.13811035121427526	0.13864957298853753	0.13933788834093686	0.14006844687380834	0.14241468281509154	0.1459521764456896	0.14946233625362926	0.15280501427546161	0.15627094298855393	0.15981340640508993	0.16330567498365314	0.16665779559876753	0.17055112590251933	0.17427796837735146	0.1781921717820425	0.1822480140859637	0.18637989411473477	0.19054308379491464	0.19449605152992128	0.1987402487208889	0.20279410311043494	0.20700549971421248	0.21099971667250367	0.21496163002219854	0.2188181839100099	0.222578323950626	0.22617893386263543	0.22930343828179392	0.23259343657268455	0.23574080200715736	0.2373346123574423
