"bestsumorder_family" "n"
"Fibroporiaceae" 1
"Gnomoniaceae" 1
"Helotiaceae" 1
"Hydnangiaceae" 1
"Lipomycetaceae" 1
"Naemateliaceae" 1
"Nosematidae" 1
"Onygenales-undef" 1
"Pezizellaceae" 1
"Piedraiaceae" 1
"Pterulaceae" 1
"Rhizodiscinaceae" 1
"Schizoparmaceae" 1
"Serpulaceae" 1
"Sporormiaceae" 1
"Suillaceae" 1
"Sympoventuriaceae" 1
"Tilletiariaceae" 1
"Trypetheliaceae" 1
"Xylonaceae" 1
